cell_name,batch,cell_type
pDC_P10_S73,0,pDC
pDC_P10_S74,0,pDC
pDC_P10_S75,0,pDC
pDC_P10_S76,0,pDC
pDC_P10_S77,0,pDC
pDC_P10_S78,0,pDC
pDC_P10_S79,0,pDC
pDC_P10_S80,0,pDC
pDC_P10_S81,0,pDC
pDC_P10_S82,0,pDC
pDC_P10_S83,0,pDC
pDC_P10_S84,0,pDC
pDC_P10_S85,0,pDC
pDC_P10_S86,0,pDC
pDC_P10_S87,0,pDC
pDC_P10_S88,0,pDC
pDC_P10_S89,0,pDC
pDC_P10_S90,0,pDC
pDC_P10_S91,0,pDC
pDC_P10_S92,0,pDC
pDC_P10_S93,0,pDC
pDC_P10_S94,0,pDC
pDC_P10_S95,0,pDC
pDC_P10_S96,0,pDC
pDC_P7_S10,0,pDC
pDC_P7_S11,0,pDC
pDC_P7_S12,0,pDC
pDC_P7_S13,0,pDC
pDC_P7_S14,0,pDC
pDC_P7_S15,0,pDC
pDC_P7_S16,0,pDC
pDC_P7_S17,0,pDC
pDC_P7_S18,0,pDC
pDC_P7_S19,0,pDC
pDC_P7_S1,0,pDC
pDC_P7_S20,0,pDC
pDC_P7_S21,0,pDC
pDC_P7_S22,0,pDC
pDC_P7_S23,0,pDC
pDC_P7_S24,0,pDC
pDC_P7_S2,0,pDC
pDC_P7_S3,0,pDC
pDC_P7_S4,0,pDC
pDC_P7_S5,0,pDC
pDC_P7_S6,0,pDC
pDC_P7_S7,0,pDC
pDC_P7_S8,0,pDC
pDC_P7_S9,0,pDC
pDC_P8_S25,0,pDC
pDC_P8_S26,0,pDC
pDC_P8_S27,0,pDC
pDC_P8_S28,0,pDC
pDC_P8_S30,0,pDC
pDC_P8_S31,0,pDC
pDC_P8_S32,0,pDC
pDC_P8_S33,0,pDC
pDC_P8_S34,0,pDC
pDC_P8_S35,0,pDC
pDC_P8_S36,0,pDC
pDC_P8_S37,0,pDC
pDC_P8_S38,0,pDC
pDC_P8_S39,0,pDC
pDC_P8_S40,0,pDC
pDC_P8_S42,0,pDC
pDC_P8_S43,0,pDC
pDC_P8_S44,0,pDC
pDC_P8_S45,0,pDC
pDC_P8_S46,0,pDC
pDC_P8_S47,0,pDC
pDC_P8_S48,0,pDC
pDC_P9_S49,0,pDC
pDC_P9_S50,0,pDC
pDC_P9_S51,0,pDC
pDC_P9_S52,0,pDC
pDC_P9_S53,0,pDC
pDC_P9_S54,0,pDC
pDC_P9_S55,0,pDC
pDC_P9_S56,0,pDC
pDC_P9_S57,0,pDC
pDC_P9_S58,0,pDC
pDC_P9_S59,0,pDC
pDC_P9_S60,0,pDC
pDC_P9_S61,0,pDC
pDC_P9_S62,0,pDC
pDC_P9_S63,0,pDC
pDC_P9_S64,0,pDC
pDC_P9_S65,0,pDC
pDC_P9_S66,0,pDC
pDC_P9_S67,0,pDC
pDC_P9_S68,0,pDC
pDC_P9_S69,0,pDC
pDC_P9_S70,0,pDC
pDC_P9_S71,0,pDC
pDC_P9_S72,0,pDC
DoubleNeg_P10_S73,0,DoubleNeg
DoubleNeg_P10_S74,0,DoubleNeg
DoubleNeg_P10_S75,0,DoubleNeg
DoubleNeg_P10_S76,0,DoubleNeg
DoubleNeg_P10_S77,0,DoubleNeg
DoubleNeg_P10_S78,0,DoubleNeg
DoubleNeg_P10_S79,0,DoubleNeg
DoubleNeg_P10_S80,0,DoubleNeg
DoubleNeg_P10_S81,0,DoubleNeg
DoubleNeg_P10_S82,0,DoubleNeg
DoubleNeg_P10_S83,0,DoubleNeg
DoubleNeg_P10_S84,0,DoubleNeg
DoubleNeg_P10_S85,0,DoubleNeg
DoubleNeg_P10_S86,0,DoubleNeg
DoubleNeg_P10_S87,0,DoubleNeg
DoubleNeg_P10_S88,0,DoubleNeg
DoubleNeg_P10_S89,0,DoubleNeg
DoubleNeg_P10_S90,0,DoubleNeg
DoubleNeg_P10_S91,0,DoubleNeg
DoubleNeg_P10_S92,0,DoubleNeg
DoubleNeg_P10_S93,0,DoubleNeg
DoubleNeg_P10_S94,0,DoubleNeg
DoubleNeg_P10_S95,0,DoubleNeg
DoubleNeg_P10_S96,0,DoubleNeg
DoubleNeg_P7_S10,0,DoubleNeg
DoubleNeg_P7_S11,0,DoubleNeg
DoubleNeg_P7_S12,0,DoubleNeg
DoubleNeg_P7_S13,0,DoubleNeg
DoubleNeg_P7_S14,0,DoubleNeg
DoubleNeg_P7_S15,0,DoubleNeg
DoubleNeg_P7_S16,0,DoubleNeg
DoubleNeg_P7_S17,0,DoubleNeg
DoubleNeg_P7_S18,0,DoubleNeg
DoubleNeg_P7_S19,0,DoubleNeg
DoubleNeg_P7_S1,0,DoubleNeg
DoubleNeg_P7_S20,0,DoubleNeg
DoubleNeg_P7_S21,0,DoubleNeg
DoubleNeg_P7_S22,0,DoubleNeg
DoubleNeg_P7_S23,0,DoubleNeg
DoubleNeg_P7_S24,0,DoubleNeg
DoubleNeg_P7_S2,0,DoubleNeg
DoubleNeg_P7_S3,0,DoubleNeg
DoubleNeg_P7_S4,0,DoubleNeg
DoubleNeg_P7_S5,0,DoubleNeg
DoubleNeg_P7_S6,0,DoubleNeg
DoubleNeg_P7_S7,0,DoubleNeg
DoubleNeg_P7_S8,0,DoubleNeg
DoubleNeg_P7_S9,0,DoubleNeg
DoubleNeg_P8_S25,0,DoubleNeg
DoubleNeg_P8_S26,0,DoubleNeg
DoubleNeg_P8_S27,0,DoubleNeg
DoubleNeg_P8_S28,0,DoubleNeg
DoubleNeg_P8_S30,0,DoubleNeg
DoubleNeg_P8_S31,0,DoubleNeg
DoubleNeg_P8_S32,0,DoubleNeg
DoubleNeg_P8_S33,0,DoubleNeg
DoubleNeg_P8_S34,0,DoubleNeg
DoubleNeg_P8_S35,0,DoubleNeg
DoubleNeg_P8_S36,0,DoubleNeg
DoubleNeg_P8_S37,0,DoubleNeg
DoubleNeg_P8_S38,0,DoubleNeg
DoubleNeg_P8_S39,0,DoubleNeg
DoubleNeg_P8_S40,0,DoubleNeg
DoubleNeg_P8_S41,0,DoubleNeg
DoubleNeg_P8_S42,0,DoubleNeg
DoubleNeg_P8_S43,0,DoubleNeg
DoubleNeg_P8_S44,0,DoubleNeg
DoubleNeg_P8_S45,0,DoubleNeg
DoubleNeg_P8_S46,0,DoubleNeg
DoubleNeg_P8_S47,0,DoubleNeg
DoubleNeg_P8_S48,0,DoubleNeg
DoubleNeg_P9_S49,0,DoubleNeg
DoubleNeg_P9_S50,0,DoubleNeg
DoubleNeg_P9_S51,0,DoubleNeg
DoubleNeg_P9_S52,0,DoubleNeg
DoubleNeg_P9_S53,0,DoubleNeg
DoubleNeg_P9_S54,0,DoubleNeg
DoubleNeg_P9_S55,0,DoubleNeg
DoubleNeg_P9_S56,0,DoubleNeg
DoubleNeg_P9_S57,0,DoubleNeg
DoubleNeg_P9_S58,0,DoubleNeg
DoubleNeg_P9_S59,0,DoubleNeg
DoubleNeg_P9_S60,0,DoubleNeg
