cell_name,batch,cell_type
D101_5,celseq,gamma
D101_43,celseq,gamma
D101_93,celseq,gamma
D102_4,celseq,gamma
D172444_23,celseq,gamma
D172444_68,celseq,gamma
D17All1_2,celseq,gamma
D17All1_18,celseq,gamma
D17All1_28,celseq,gamma
D17All1_72,celseq,gamma
D17All2_14,celseq,gamma
D17All2_28,celseq,gamma
D17All2_38,celseq,gamma
D17All2_46,celseq,gamma
D17All2_63,celseq,gamma
D17All2_85,celseq,gamma
D17All2_92,celseq,gamma
D73_20,celseq,gamma
D28-1_74,celseq2,gamma
D28-1_76,celseq2,gamma
D28-1_85,celseq2,gamma
D28-2_37,celseq2,gamma
D28-2_63,celseq2,gamma
D28-2_91,celseq2,gamma
D28-3_14,celseq2,gamma
D28-3_18,celseq2,gamma
D28-4_26,celseq2,gamma
D28-4_38,celseq2,gamma
D28-4_90,celseq2,gamma
D28-5_2,celseq2,gamma
D28-7_4,celseq2,gamma
D28-8_38,celseq2,gamma
D29-1_12,celseq2,gamma
D29-1_15,celseq2,gamma
D29-1_35,celseq2,gamma
D29-1_58,celseq2,gamma
D29-1_66,celseq2,gamma
D29-1_67,celseq2,gamma
D29-1_71,celseq2,gamma
D29-1_72,celseq2,gamma
D29-1_73,celseq2,gamma
D29-1_86,celseq2,gamma
D29-1_90,celseq2,gamma
D29-2_19,celseq2,gamma
D29-2_42,celseq2,gamma
D29-2_43,celseq2,gamma
D29-2_47,celseq2,gamma
D29-2_58,celseq2,gamma
D29-2_59,celseq2,gamma
D29-2_64,celseq2,gamma
D29-2_68,celseq2,gamma
D29-2_78,celseq2,gamma
D29-2_87,celseq2,gamma
D29-2_92,celseq2,gamma
D29-3_15,celseq2,gamma
D29-3_16,celseq2,gamma
D29-3_32,celseq2,gamma
D29-3_44,celseq2,gamma
D29-3_71,celseq2,gamma
D29-4_3,celseq2,gamma
D29-4_4,celseq2,gamma
D29-4_6,celseq2,gamma
D29-4_20,celseq2,gamma
D29-4_48,celseq2,gamma
D29-4_86,celseq2,gamma
D29-5_6,celseq2,gamma
D29-5_51,celseq2,gamma
D29-5_79,celseq2,gamma
D29-6_4,celseq2,gamma
D29-6_6,celseq2,gamma
D29-6_9,celseq2,gamma
D29-6_11,celseq2,gamma
D29-6_33,celseq2,gamma
D29-6_55,celseq2,gamma
D29-6_88,celseq2,gamma
D29-7_8,celseq2,gamma
D29-7_23,celseq2,gamma
D29-7_30,celseq2,gamma
D29-7_34,celseq2,gamma
D29-7_35,celseq2,gamma
D29-7_36,celseq2,gamma
D29-7_40,celseq2,gamma
D29-7_60,celseq2,gamma
D29-7_61,celseq2,gamma
D29-7_77,celseq2,gamma
D29-7_89,celseq2,gamma
D29-7_93,celseq2,gamma
D29-7_94,celseq2,gamma
D29-8_19,celseq2,gamma
D29-8_43,celseq2,gamma
D29-8_48,celseq2,gamma
D30-2_8,celseq2,gamma
D30-3_15,celseq2,gamma
D30-3_21,celseq2,gamma
D30-5_74,celseq2,gamma
D30-6_90,celseq2,gamma
D31-1_65,celseq2,gamma
D31-1_79,celseq2,gamma
D31-1_80,celseq2,gamma
D31-1_81,celseq2,gamma
D31-2_55,celseq2,gamma
D31-2_60,celseq2,gamma
D31-3_30,celseq2,gamma
D31-3_51,celseq2,gamma
D31-3_54,celseq2,gamma
D31-3_56,celseq2,gamma
D31-3_61,celseq2,gamma
D31-3_72,celseq2,gamma
D31-3_77,celseq2,gamma
D31-4_4,celseq2,gamma
D31-4_15,celseq2,gamma
D31-4_37,celseq2,gamma
D31-4_40,celseq2,gamma
D31-6_5,celseq2,gamma
D31-6_32,celseq2,gamma
D31-6_71,celseq2,gamma
D31-7_15,celseq2,gamma
D31-7_79,celseq2,gamma
D31-7_92,celseq2,gamma
D31-8_10,celseq2,gamma
D31-8_15,celseq2,gamma
D31-8_16,celseq2,gamma
D31-8_25,celseq2,gamma
D31-8_26,celseq2,gamma
D31-8_36,celseq2,gamma
D31-8_67,celseq2,gamma
D31-8_70,celseq2,gamma
D31-8_87,celseq2,gamma
10th_C58_S111,fluidigmc1,gamma
10th_C6_S88,fluidigmc1,gamma
10th_C78_S114,fluidigmc1,gamma
10th_C8_S52,fluidigmc1,gamma
11th-C10_S63,fluidigmc1,gamma
11th-C39_S21,fluidigmc1,gamma
3rd-C40_S57,fluidigmc1,gamma
3rd-C44_S32,fluidigmc1,gamma
3rd-C47_S35,fluidigmc1,gamma
3rd-C53_S67,fluidigmc1,gamma
5th-C9_S92,fluidigmc1,gamma
7th-C24_S40,fluidigmc1,gamma
7th-C82_S64,fluidigmc1,gamma
8th-C69_S119,fluidigmc1,gamma
8th-C91_S158,fluidigmc1,gamma
8th-C92_S157,fluidigmc1,gamma
9th-C66_S33,fluidigmc1,gamma
9th-C79_S57,fluidigmc1,gamma
AZ_A2,smartseq2,gamma
AZ_H5,smartseq2,gamma
AZ_G5,smartseq2,gamma
AZ_D8,smartseq2,gamma
AZ_D12,smartseq2,gamma
HP1502401_H13,smartseq2,gamma
HP1502401_L14,smartseq2,gamma
HP1502401_K14,smartseq2,gamma
HP1502401_F17,smartseq2,gamma
HP1502401_E5,smartseq2,gamma
HP1502401_E7,smartseq2,gamma
HP1502401_B18,smartseq2,gamma
HP1502401_K24,smartseq2,gamma
HP1502401_K23,smartseq2,gamma
HP1502401_F18,smartseq2,gamma
HP1502401_G11,smartseq2,gamma
HP1502401_G12,smartseq2,gamma
HP1502401_N23,smartseq2,gamma
HP1502401_B15,smartseq2,gamma
HP1502401_N11,smartseq2,gamma
HP1502401_N9,smartseq2,gamma
HP1502401_F15,smartseq2,gamma
HP1502401_B11,smartseq2,gamma
HP1502401_I8,smartseq2,gamma
HP1504101T2D_B4,smartseq2,gamma
HP1504101T2D_B10,smartseq2,gamma
HP1504101T2D_G16,smartseq2,gamma
HP1504101T2D_A15,smartseq2,gamma
HP1504101T2D_K2,smartseq2,gamma
HP1504101T2D_B22,smartseq2,gamma
HP1504101T2D_G4,smartseq2,gamma
HP1504101T2D_L13,smartseq2,gamma
HP1504101T2D_B24,smartseq2,gamma
HP1504101T2D_H14,smartseq2,gamma
HP1504101T2D_A20,smartseq2,gamma
HP1504101T2D_I7,smartseq2,gamma
HP1504101T2D_E11,smartseq2,gamma
HP1504101T2D_E18,smartseq2,gamma
HP1504101T2D_L15,smartseq2,gamma
HP1504101T2D_D17,smartseq2,gamma
HP1504101T2D_A4,smartseq2,gamma
HP1504101T2D_P9,smartseq2,gamma
HP1504101T2D_F11,smartseq2,gamma
HP1504101T2D_O4,smartseq2,gamma
HP1504101T2D_E4,smartseq2,gamma
HP1504101T2D_I16,smartseq2,gamma
HP1504101T2D_D1,smartseq2,gamma
HP1504101T2D_D18,smartseq2,gamma
HP1504101T2D_F2,smartseq2,gamma
HP1504101T2D_I15,smartseq2,gamma
HP1504101T2D_I10,smartseq2,gamma
HP1504101T2D_E14,smartseq2,gamma
HP1504101T2D_P24,smartseq2,gamma
HP1504101T2D_E9,smartseq2,gamma
HP1504101T2D_B17,smartseq2,gamma
HP1504101T2D_N20,smartseq2,gamma
HP1504101T2D_C12,smartseq2,gamma
HP1504101T2D_I19,smartseq2,gamma
HP1504101T2D_M1,smartseq2,gamma
HP1504101T2D_A13,smartseq2,gamma
HP1504101T2D_D21,smartseq2,gamma
HP1504101T2D_B18,smartseq2,gamma
HP1504101T2D_A17,smartseq2,gamma
HP1504101T2D_E7,smartseq2,gamma
HP1504101T2D_G3,smartseq2,gamma
HP1504101T2D_C21,smartseq2,gamma
HP1504101T2D_K8,smartseq2,gamma
HP1504101T2D_D24,smartseq2,gamma
HP1504101T2D_F14,smartseq2,gamma
HP1504101T2D_B5,smartseq2,gamma
HP1504101T2D_L24,smartseq2,gamma
HP1504101T2D_B12,smartseq2,gamma
HP1504101T2D_E8,smartseq2,gamma
HP1504101T2D_L1,smartseq2,gamma
HP1504101T2D_J3,smartseq2,gamma
HP1504101T2D_G21,smartseq2,gamma
HP1504101T2D_D15,smartseq2,gamma
HP1504101T2D_D23,smartseq2,gamma
HP1504101T2D_H1,smartseq2,gamma
HP1504101T2D_D12,smartseq2,gamma
HP1504101T2D_F13,smartseq2,gamma
HP1504101T2D_J9,smartseq2,gamma
HP1504101T2D_H24,smartseq2,gamma
HP1504101T2D_E20,smartseq2,gamma
HP1504101T2D_P12,smartseq2,gamma
HP1504101T2D_J22,smartseq2,gamma
HP1504101T2D_O11,smartseq2,gamma
HP1504101T2D_J5,smartseq2,gamma
HP1504101T2D_G8,smartseq2,gamma
HP1504101T2D_D11,smartseq2,gamma
HP1504101T2D_O23,smartseq2,gamma
HP1504101T2D_F20,smartseq2,gamma
HP1504101T2D_M3,smartseq2,gamma
HP1504101T2D_N16,smartseq2,gamma
HP1504101T2D_A18,smartseq2,gamma
HP1504101T2D_F16,smartseq2,gamma
HP1504901_L12,smartseq2,gamma
HP1504901_N9,smartseq2,gamma
HP1504901_F15,smartseq2,gamma
HP1504901_G20,smartseq2,gamma
HP1504901_H19,smartseq2,gamma
HP1504901_B8,smartseq2,gamma
HP1504901_O1,smartseq2,gamma
HP1504901_F18,smartseq2,gamma
HP1504901_H14,smartseq2,gamma
HP1504901_F1,smartseq2,gamma
HP1504901_B20,smartseq2,gamma
HP1504901_O21,smartseq2,gamma
HP1504901_A5,smartseq2,gamma
HP1504901_L18,smartseq2,gamma
HP1504901_D9,smartseq2,gamma
HP1504901_K14,smartseq2,gamma
HP1504901_N15,smartseq2,gamma
HP1504901_B23,smartseq2,gamma
HP1504901_O5,smartseq2,gamma
HP1504901_J9,smartseq2,gamma
HP1504901_M4,smartseq2,gamma
HP1504901_B6,smartseq2,gamma
HP1504901_E23,smartseq2,gamma
HP1504901_O24,smartseq2,gamma
HP1504901_L3,smartseq2,gamma
HP1504901_I18,smartseq2,gamma
HP1504901_D24,smartseq2,gamma
HP1504901_I22,smartseq2,gamma
HP1504901_C14,smartseq2,gamma
HP1504901_C23,smartseq2,gamma
HP1504901_L9,smartseq2,gamma
HP1504901_N23,smartseq2,gamma
HP1506401_I2,smartseq2,gamma
HP1506401_I1,smartseq2,gamma
HP1506401_E3,smartseq2,gamma
HP1506401_B22,smartseq2,gamma
HP1506401_N7,smartseq2,gamma
HP1506401_I14,smartseq2,gamma
HP1506401_G8,smartseq2,gamma
HP1506401_H12,smartseq2,gamma
HP1506401_E12,smartseq2,gamma
HP1506401_B4,smartseq2,gamma
HP1506401_K23,smartseq2,gamma
HP1506401_I17,smartseq2,gamma
HP1506401_H11,smartseq2,gamma
HP1506401_F14,smartseq2,gamma
HP1506401_K22,smartseq2,gamma
HP1506401_O6,smartseq2,gamma
HP1506401_D9,smartseq2,gamma
HP1506401_L17,smartseq2,gamma
HP1506401_M6,smartseq2,gamma
HP1506401_B3,smartseq2,gamma
HP1506401_M24,smartseq2,gamma
HP1506401_H19,smartseq2,gamma
HP1507101_J9,smartseq2,gamma
HP1507101_D19,smartseq2,gamma
HP1507101_M22,smartseq2,gamma
HP1507101_B20,smartseq2,gamma
