,cell_type,batch,batch_from_meta
10x_CELL_000001,HCC827,10x,10x
10x_CELL_000002,H1975,10x,10x
10x_CELL_000003,HCC827,10x,10x
10x_CELL_000004,HCC827,10x,10x
10x_CELL_000005,HCC827,10x,10x
10x_CELL_000006,H1975,10x,10x
10x_CELL_000007,HCC827,10x,10x
10x_CELL_000008,HCC827,10x,10x
10x_CELL_000009,HCC827,10x,10x
10x_CELL_000010,HCC827,10x,10x
10x_CELL_000011,H1975,10x,10x
10x_CELL_000012,HCC827,10x,10x
10x_CELL_000013,HCC827,10x,10x
10x_CELL_000014,HCC827,10x,10x
10x_CELL_000015,H1975,10x,10x
10x_CELL_000016,HCC827,10x,10x
10x_CELL_000017,HCC827,10x,10x
10x_CELL_000018,HCC827,10x,10x
10x_CELL_000019,HCC827,10x,10x
10x_CELL_000020,HCC827,10x,10x
10x_CELL_000021,HCC827,10x,10x
10x_CELL_000022,HCC827,10x,10x
10x_CELL_000023,HCC827,10x,10x
10x_CELL_000024,HCC827,10x,10x
10x_CELL_000025,H1975,10x,10x
10x_CELL_000026,H1975,10x,10x
10x_CELL_000027,HCC827,10x,10x
10x_CELL_000028,HCC827,10x,10x
10x_CELL_000029,HCC827,10x,10x
10x_CELL_000030,HCC827,10x,10x
10x_CELL_000031,HCC827,10x,10x
10x_CELL_000032,HCC827,10x,10x
10x_CELL_000033,HCC827,10x,10x
10x_CELL_000034,HCC827,10x,10x
10x_CELL_000035,H2228,10x,10x
10x_CELL_000036,HCC827,10x,10x
10x_CELL_000037,HCC827,10x,10x
10x_CELL_000038,H2228,10x,10x
10x_CELL_000039,HCC827,10x,10x
10x_CELL_000040,HCC827,10x,10x
10x_CELL_000041,HCC827,10x,10x
10x_CELL_000042,H1975,10x,10x
10x_CELL_000043,HCC827,10x,10x
10x_CELL_000044,H1975,10x,10x
10x_CELL_000045,HCC827,10x,10x
10x_CELL_000046,HCC827,10x,10x
10x_CELL_000047,HCC827,10x,10x
10x_CELL_000048,H1975,10x,10x
10x_CELL_000049,HCC827,10x,10x
10x_CELL_000050,HCC827,10x,10x
10x_CELL_000051,H1975,10x,10x
10x_CELL_000052,HCC827,10x,10x
10x_CELL_000053,HCC827,10x,10x
10x_CELL_000054,HCC827,10x,10x
10x_CELL_000055,HCC827,10x,10x
10x_CELL_000056,HCC827,10x,10x
10x_CELL_000057,HCC827,10x,10x
10x_CELL_000058,HCC827,10x,10x
10x_CELL_000059,H1975,10x,10x
10x_CELL_000060,HCC827,10x,10x
10x_CELL_000061,HCC827,10x,10x
10x_CELL_000062,H1975,10x,10x
10x_CELL_000063,HCC827,10x,10x
10x_CELL_000064,H1975,10x,10x
10x_CELL_000065,H2228,10x,10x
10x_CELL_000066,HCC827,10x,10x
10x_CELL_000067,HCC827,10x,10x
10x_CELL_000068,HCC827,10x,10x
10x_CELL_000069,HCC827,10x,10x
10x_CELL_000070,H1975,10x,10x
10x_CELL_000071,HCC827,10x,10x
10x_CELL_000072,H2228,10x,10x
10x_CELL_000073,H1975,10x,10x
10x_CELL_000074,H2228,10x,10x
10x_CELL_000075,HCC827,10x,10x
10x_CELL_000076,H2228,10x,10x
10x_CELL_000077,H2228,10x,10x
10x_CELL_000078,H2228,10x,10x
10x_CELL_000079,H2228,10x,10x
10x_CELL_000080,H2228,10x,10x
10x_CELL_000081,HCC827,10x,10x
10x_CELL_000082,H1975,10x,10x
10x_CELL_000083,HCC827,10x,10x
10x_CELL_000084,H1975,10x,10x
10x_CELL_000085,HCC827,10x,10x
10x_CELL_000086,H1975,10x,10x
10x_CELL_000087,HCC827,10x,10x
10x_CELL_000088,H2228,10x,10x
10x_CELL_000089,H1975,10x,10x
10x_CELL_000090,HCC827,10x,10x
10x_CELL_000091,H1975,10x,10x
10x_CELL_000092,HCC827,10x,10x
10x_CELL_000093,HCC827,10x,10x
10x_CELL_000094,H2228,10x,10x
10x_CELL_000095,H2228,10x,10x
10x_CELL_000096,HCC827,10x,10x
10x_CELL_000097,H1975,10x,10x
10x_CELL_000098,H1975,10x,10x
10x_CELL_000099,HCC827,10x,10x
10x_CELL_000100,H1975,10x,10x
10x_CELL_000101,HCC827,10x,10x
10x_CELL_000102,H1975,10x,10x
10x_CELL_000103,HCC827,10x,10x
10x_CELL_000104,HCC827,10x,10x
10x_CELL_000105,H1975,10x,10x
10x_CELL_000106,H2228,10x,10x
10x_CELL_000107,HCC827,10x,10x
10x_CELL_000108,H2228,10x,10x
10x_CELL_000109,HCC827,10x,10x
10x_CELL_000110,H2228,10x,10x
10x_CELL_000111,HCC827,10x,10x
10x_CELL_000112,HCC827,10x,10x
10x_CELL_000113,H1975,10x,10x
10x_CELL_000114,H1975,10x,10x
10x_CELL_000115,HCC827,10x,10x
10x_CELL_000116,HCC827,10x,10x
10x_CELL_000117,HCC827,10x,10x
10x_CELL_000118,H2228,10x,10x
10x_CELL_000119,HCC827,10x,10x
10x_CELL_000120,HCC827,10x,10x
10x_CELL_000121,H2228,10x,10x
10x_CELL_000122,H1975,10x,10x
10x_CELL_000123,HCC827,10x,10x
10x_CELL_000124,H1975,10x,10x
10x_CELL_000125,H2228,10x,10x
10x_CELL_000126,H2228,10x,10x
10x_CELL_000127,HCC827,10x,10x
10x_CELL_000128,H2228,10x,10x
10x_CELL_000129,HCC827,10x,10x
10x_CELL_000130,H1975,10x,10x
10x_CELL_000131,H1975,10x,10x
10x_CELL_000132,H2228,10x,10x
10x_CELL_000133,H1975,10x,10x
10x_CELL_000134,H1975,10x,10x
10x_CELL_000135,H1975,10x,10x
10x_CELL_000136,HCC827,10x,10x
10x_CELL_000137,H1975,10x,10x
10x_CELL_000138,H1975,10x,10x
10x_CELL_000139,HCC827,10x,10x
10x_CELL_000140,HCC827,10x,10x
10x_CELL_000141,H1975,10x,10x
10x_CELL_000142,H2228,10x,10x
10x_CELL_000143,H1975,10x,10x
10x_CELL_000144,H2228,10x,10x
10x_CELL_000145,HCC827,10x,10x
10x_CELL_000146,HCC827,10x,10x
10x_CELL_000147,H2228,10x,10x
10x_CELL_000148,HCC827,10x,10x
10x_CELL_000149,HCC827,10x,10x
10x_CELL_000150,HCC827,10x,10x
10x_CELL_000151,HCC827,10x,10x
10x_CELL_000152,H2228,10x,10x
10x_CELL_000153,H2228,10x,10x
10x_CELL_000154,H1975,10x,10x
10x_CELL_000155,HCC827,10x,10x
10x_CELL_000156,H1975,10x,10x
10x_CELL_000157,H1975,10x,10x
10x_CELL_000158,HCC827,10x,10x
10x_CELL_000159,HCC827,10x,10x
10x_CELL_000160,HCC827,10x,10x
10x_CELL_000161,HCC827,10x,10x
10x_CELL_000162,H1975,10x,10x
10x_CELL_000163,H2228,10x,10x
10x_CELL_000164,H1975,10x,10x
10x_CELL_000165,HCC827,10x,10x
10x_CELL_000166,H2228,10x,10x
10x_CELL_000167,H1975,10x,10x
10x_CELL_000168,H2228,10x,10x
10x_CELL_000169,H1975,10x,10x
10x_CELL_000170,HCC827,10x,10x
10x_CELL_000171,HCC827,10x,10x
10x_CELL_000172,H2228,10x,10x
10x_CELL_000173,H1975,10x,10x
10x_CELL_000174,HCC827,10x,10x
10x_CELL_000175,H2228,10x,10x
10x_CELL_000176,H2228,10x,10x
10x_CELL_000177,H2228,10x,10x
10x_CELL_000178,HCC827,10x,10x
10x_CELL_000179,HCC827,10x,10x
10x_CELL_000180,H1975,10x,10x
10x_CELL_000181,H2228,10x,10x
10x_CELL_000182,HCC827,10x,10x
10x_CELL_000183,HCC827,10x,10x
10x_CELL_000184,H1975,10x,10x
10x_CELL_000185,HCC827,10x,10x
10x_CELL_000186,H1975,10x,10x
10x_CELL_000187,HCC827,10x,10x
10x_CELL_000188,HCC827,10x,10x
10x_CELL_000189,H2228,10x,10x
10x_CELL_000190,HCC827,10x,10x
10x_CELL_000191,H2228,10x,10x
10x_CELL_000192,HCC827,10x,10x
10x_CELL_000193,H2228,10x,10x
10x_CELL_000194,H2228,10x,10x
10x_CELL_000195,H2228,10x,10x
10x_CELL_000196,H1975,10x,10x
10x_CELL_000197,H2228,10x,10x
10x_CELL_000198,HCC827,10x,10x
10x_CELL_000199,H1975,10x,10x
10x_CELL_000200,H2228,10x,10x
10x_CELL_000201,HCC827,10x,10x
10x_CELL_000202,H2228,10x,10x
10x_CELL_000203,HCC827,10x,10x
10x_CELL_000204,HCC827,10x,10x
10x_CELL_000205,H1975,10x,10x
10x_CELL_000206,H1975,10x,10x
10x_CELL_000207,HCC827,10x,10x
10x_CELL_000208,H2228,10x,10x
10x_CELL_000209,HCC827,10x,10x
10x_CELL_000210,H1975,10x,10x
10x_CELL_000211,H1975,10x,10x
10x_CELL_000212,H1975,10x,10x
10x_CELL_000213,HCC827,10x,10x
10x_CELL_000214,H1975,10x,10x
10x_CELL_000215,HCC827,10x,10x
10x_CELL_000216,H2228,10x,10x
10x_CELL_000217,H1975,10x,10x
10x_CELL_000218,H1975,10x,10x
10x_CELL_000219,H2228,10x,10x
10x_CELL_000220,H2228,10x,10x
10x_CELL_000221,H1975,10x,10x
10x_CELL_000222,HCC827,10x,10x
10x_CELL_000223,HCC827,10x,10x
10x_CELL_000224,H1975,10x,10x
10x_CELL_000225,HCC827,10x,10x
10x_CELL_000226,HCC827,10x,10x
10x_CELL_000227,H1975,10x,10x
10x_CELL_000228,H2228,10x,10x
10x_CELL_000229,HCC827,10x,10x
10x_CELL_000230,H1975,10x,10x
10x_CELL_000231,HCC827,10x,10x
10x_CELL_000232,HCC827,10x,10x
10x_CELL_000233,H1975,10x,10x
10x_CELL_000234,HCC827,10x,10x
10x_CELL_000235,H1975,10x,10x
10x_CELL_000236,HCC827,10x,10x
10x_CELL_000237,H2228,10x,10x
10x_CELL_000238,H1975,10x,10x
10x_CELL_000239,H2228,10x,10x
10x_CELL_000240,H2228,10x,10x
10x_CELL_000241,HCC827,10x,10x
10x_CELL_000242,H1975,10x,10x
10x_CELL_000243,H1975,10x,10x
10x_CELL_000244,HCC827,10x,10x
10x_CELL_000245,HCC827,10x,10x
10x_CELL_000246,H2228,10x,10x
10x_CELL_000247,H1975,10x,10x
10x_CELL_000248,HCC827,10x,10x
10x_CELL_000249,H1975,10x,10x
10x_CELL_000250,H2228,10x,10x
10x_CELL_000251,HCC827,10x,10x
10x_CELL_000252,HCC827,10x,10x
10x_CELL_000253,H1975,10x,10x
10x_CELL_000254,H2228,10x,10x
10x_CELL_000255,HCC827,10x,10x
10x_CELL_000256,HCC827,10x,10x
10x_CELL_000257,H1975,10x,10x
10x_CELL_000258,H1975,10x,10x
10x_CELL_000259,HCC827,10x,10x
10x_CELL_000260,H1975,10x,10x
10x_CELL_000261,HCC827,10x,10x
10x_CELL_000262,H2228,10x,10x
10x_CELL_000263,HCC827,10x,10x
10x_CELL_000264,H1975,10x,10x
10x_CELL_000265,H1975,10x,10x
10x_CELL_000266,HCC827,10x,10x
10x_CELL_000267,HCC827,10x,10x
10x_CELL_000268,H1975,10x,10x
10x_CELL_000269,HCC827,10x,10x
10x_CELL_000270,HCC827,10x,10x
10x_CELL_000271,HCC827,10x,10x
10x_CELL_000272,HCC827,10x,10x
10x_CELL_000273,H2228,10x,10x
10x_CELL_000274,H1975,10x,10x
10x_CELL_000275,HCC827,10x,10x
10x_CELL_000276,H1975,10x,10x
10x_CELL_000277,HCC827,10x,10x
10x_CELL_000278,H2228,10x,10x
10x_CELL_000279,HCC827,10x,10x
10x_CELL_000280,H2228,10x,10x
10x_CELL_000281,HCC827,10x,10x
10x_CELL_000282,H2228,10x,10x
10x_CELL_000283,HCC827,10x,10x
10x_CELL_000284,HCC827,10x,10x
10x_CELL_000285,HCC827,10x,10x
10x_CELL_000286,H1975,10x,10x
10x_CELL_000287,H1975,10x,10x
10x_CELL_000288,H1975,10x,10x
10x_CELL_000289,HCC827,10x,10x
10x_CELL_000290,H1975,10x,10x
10x_CELL_000291,H2228,10x,10x
10x_CELL_000292,H2228,10x,10x
10x_CELL_000293,H1975,10x,10x
10x_CELL_000294,HCC827,10x,10x
10x_CELL_000295,H1975,10x,10x
10x_CELL_000296,H1975,10x,10x
10x_CELL_000297,H1975,10x,10x
10x_CELL_000298,H1975,10x,10x
10x_CELL_000299,H1975,10x,10x
10x_CELL_000300,HCC827,10x,10x
10x_CELL_000301,HCC827,10x,10x
10x_CELL_000302,HCC827,10x,10x
10x_CELL_000303,HCC827,10x,10x
10x_CELL_000304,HCC827,10x,10x
10x_CELL_000305,H1975,10x,10x
10x_CELL_000306,H1975,10x,10x
10x_CELL_000307,H2228,10x,10x
10x_CELL_000308,H2228,10x,10x
10x_CELL_000309,HCC827,10x,10x
10x_CELL_000310,H1975,10x,10x
10x_CELL_000311,H2228,10x,10x
10x_CELL_000312,HCC827,10x,10x
10x_CELL_000313,H2228,10x,10x
10x_CELL_000314,H1975,10x,10x
10x_CELL_000315,H2228,10x,10x
10x_CELL_000316,HCC827,10x,10x
10x_CELL_000317,H2228,10x,10x
10x_CELL_000318,HCC827,10x,10x
10x_CELL_000319,H2228,10x,10x
10x_CELL_000320,HCC827,10x,10x
10x_CELL_000321,H1975,10x,10x
10x_CELL_000322,H2228,10x,10x
10x_CELL_000323,HCC827,10x,10x
10x_CELL_000324,H1975,10x,10x
10x_CELL_000325,H2228,10x,10x
10x_CELL_000326,HCC827,10x,10x
10x_CELL_000327,H1975,10x,10x
10x_CELL_000328,HCC827,10x,10x
10x_CELL_000329,HCC827,10x,10x
10x_CELL_000330,H2228,10x,10x
10x_CELL_000331,H1975,10x,10x
10x_CELL_000332,H2228,10x,10x
10x_CELL_000333,H2228,10x,10x
10x_CELL_000334,HCC827,10x,10x
10x_CELL_000335,H2228,10x,10x
10x_CELL_000336,H2228,10x,10x
10x_CELL_000337,H2228,10x,10x
10x_CELL_000338,H2228,10x,10x
10x_CELL_000339,H2228,10x,10x
10x_CELL_000340,H2228,10x,10x
10x_CELL_000341,HCC827,10x,10x
10x_CELL_000342,H1975,10x,10x
10x_CELL_000343,H1975,10x,10x
10x_CELL_000344,H1975,10x,10x
10x_CELL_000345,H2228,10x,10x
10x_CELL_000346,HCC827,10x,10x
10x_CELL_000347,H2228,10x,10x
10x_CELL_000348,H1975,10x,10x
10x_CELL_000349,H1975,10x,10x
10x_CELL_000350,H2228,10x,10x
10x_CELL_000351,HCC827,10x,10x
10x_CELL_000352,HCC827,10x,10x
10x_CELL_000353,HCC827,10x,10x
10x_CELL_000354,HCC827,10x,10x
10x_CELL_000355,H2228,10x,10x
10x_CELL_000356,H1975,10x,10x
10x_CELL_000357,H2228,10x,10x
10x_CELL_000358,HCC827,10x,10x
10x_CELL_000359,H2228,10x,10x
10x_CELL_000360,H2228,10x,10x
10x_CELL_000361,H2228,10x,10x
10x_CELL_000362,H2228,10x,10x
10x_CELL_000363,H2228,10x,10x
10x_CELL_000364,H1975,10x,10x
10x_CELL_000365,HCC827,10x,10x
10x_CELL_000366,HCC827,10x,10x
10x_CELL_000367,HCC827,10x,10x
10x_CELL_000368,H2228,10x,10x
10x_CELL_000369,HCC827,10x,10x
10x_CELL_000370,HCC827,10x,10x
10x_CELL_000371,HCC827,10x,10x
10x_CELL_000372,H1975,10x,10x
10x_CELL_000373,HCC827,10x,10x
10x_CELL_000374,H2228,10x,10x
10x_CELL_000375,HCC827,10x,10x
10x_CELL_000376,H2228,10x,10x
10x_CELL_000377,H1975,10x,10x
10x_CELL_000378,H2228,10x,10x
10x_CELL_000379,H2228,10x,10x
10x_CELL_000380,HCC827,10x,10x
10x_CELL_000381,HCC827,10x,10x
10x_CELL_000382,H1975,10x,10x
10x_CELL_000383,HCC827,10x,10x
10x_CELL_000384,HCC827,10x,10x
10x_CELL_000385,HCC827,10x,10x
10x_CELL_000386,H2228,10x,10x
10x_CELL_000387,H1975,10x,10x
10x_CELL_000388,HCC827,10x,10x
10x_CELL_000389,H1975,10x,10x
10x_CELL_000390,HCC827,10x,10x
10x_CELL_000391,HCC827,10x,10x
10x_CELL_000392,H2228,10x,10x
10x_CELL_000393,H2228,10x,10x
10x_CELL_000394,H2228,10x,10x
10x_CELL_000395,H2228,10x,10x
10x_CELL_000396,HCC827,10x,10x
10x_CELL_000397,H1975,10x,10x
10x_CELL_000398,H2228,10x,10x
10x_CELL_000399,H2228,10x,10x
10x_CELL_000400,H2228,10x,10x
10x_CELL_000401,H1975,10x,10x
10x_CELL_000402,H1975,10x,10x
10x_CELL_000403,H1975,10x,10x
10x_CELL_000404,H1975,10x,10x
10x_CELL_000405,H1975,10x,10x
10x_CELL_000406,H1975,10x,10x
10x_CELL_000407,H2228,10x,10x
10x_CELL_000408,H2228,10x,10x
10x_CELL_000409,HCC827,10x,10x
10x_CELL_000410,H2228,10x,10x
10x_CELL_000411,H2228,10x,10x
10x_CELL_000412,H1975,10x,10x
10x_CELL_000413,H1975,10x,10x
10x_CELL_000414,H1975,10x,10x
10x_CELL_000415,H1975,10x,10x
10x_CELL_000416,H1975,10x,10x
10x_CELL_000417,H1975,10x,10x
10x_CELL_000418,H1975,10x,10x
10x_CELL_000419,H2228,10x,10x
10x_CELL_000420,H1975,10x,10x
10x_CELL_000421,H1975,10x,10x
10x_CELL_000422,H1975,10x,10x
10x_CELL_000423,HCC827,10x,10x
10x_CELL_000424,H1975,10x,10x
10x_CELL_000425,HCC827,10x,10x
10x_CELL_000426,H2228,10x,10x
10x_CELL_000427,H1975,10x,10x
10x_CELL_000428,HCC827,10x,10x
10x_CELL_000429,HCC827,10x,10x
10x_CELL_000430,H2228,10x,10x
10x_CELL_000431,H1975,10x,10x
10x_CELL_000432,H2228,10x,10x
10x_CELL_000433,HCC827,10x,10x
10x_CELL_000434,H1975,10x,10x
