"Cell","batch","cell_type","ExpLibSize"
"Cell1","Batch1","Group2",64251.3283212293
"Cell2","Batch1","Group1",70205.464079803
"Cell3","Batch1","Group4",61489.2051142812
"Cell4","Batch1","Group1",56686.4059660446
"Cell5","Batch1","Group2",67604.7453738976
"Cell6","Batch1","Group1",49274.0346257829
"Cell7","Batch1","Group4",51398.397936196
"Cell8","Batch1","Group3",63933.8754499551
"Cell9","Batch1","Group4",68045.8943050411
"Cell10","Batch1","Group1",47995.6943805672
"Cell11","Batch1","Group1",45836.6602144105
"Cell12","Batch1","Group2",80577.2357503813
"Cell13","Batch1","Group3",59773.8980456814
"Cell14","Batch1","Group1",51036.3918129266
"Cell15","Batch1","Group1",77835.8675428579
"Cell16","Batch1","Group3",51492.2449165155
"Cell17","Batch1","Group2",75511.3569829955
"Cell18","Batch1","Group3",77251.7415921208
"Cell19","Batch1","Group2",73403.1311129714
"Cell20","Batch1","Group2",48421.4981522143
"Cell21","Batch1","Group2",58345.9098974726
"Cell22","Batch1","Group4",69588.2538806697
"Cell23","Batch1","Group2",46737.6826372024
"Cell24","Batch1","Group3",65999.8271574576
"Cell25","Batch1","Group4",52709.4007378516
"Cell26","Batch1","Group4",56853.7289028488
"Cell27","Batch1","Group1",78849.23423914
"Cell28","Batch1","Group1",73915.3387295914
"Cell29","Batch1","Group3",65463.0010400321
"Cell30","Batch1","Group3",71654.5026052779
"Cell31","Batch1","Group3",63928.8116690695
"Cell32","Batch1","Group3",44749.9614441046
"Cell33","Batch1","Group1",58062.127687426
"Cell34","Batch1","Group3",52793.7213978494
"Cell35","Batch1","Group4",72748.0079330996
"Cell36","Batch1","Group3",61923.1400998908
"Cell37","Batch1","Group1",54234.9358504955
"Cell38","Batch1","Group4",50845.0046688293
"Cell39","Batch1","Group1",50699.0141763636
"Cell40","Batch1","Group2",71863.049838702
"Cell41","Batch1","Group3",43634.9267085615
"Cell42","Batch1","Group1",69073.1164842186
"Cell43","Batch1","Group3",53467.2127460658
"Cell44","Batch1","Group3",58170.2333280962
"Cell45","Batch1","Group2",50885.168204297
"Cell46","Batch1","Group4",72618.1392842365
"Cell47","Batch1","Group1",49312.7297455663
"Cell48","Batch1","Group2",67221.2778828925
"Cell49","Batch1","Group4",51988.5947629212
"Cell50","Batch1","Group4",41630.0279787376
"Cell51","Batch1","Group1",54704.9027241055
"Cell52","Batch1","Group1",61426.7556267084
"Cell53","Batch1","Group1",73954.1038376763
"Cell54","Batch1","Group2",73982.1349353224
"Cell55","Batch1","Group4",63099.7720168379
"Cell56","Batch1","Group3",68328.0987967861
"Cell57","Batch1","Group3",54170.4793159004
"Cell58","Batch1","Group2",62124.7288383
"Cell59","Batch1","Group3",80562.220522894
"Cell60","Batch1","Group1",65112.6307744747
"Cell61","Batch1","Group4",63623.7474642203
"Cell62","Batch1","Group2",63180.8862860949
"Cell63","Batch1","Group1",79811.4217905547
"Cell64","Batch1","Group2",40069.4275029479
"Cell65","Batch1","Group3",66498.7558824097
"Cell66","Batch1","Group1",61730.4853624208
"Cell67","Batch1","Group2",55286.3336772557
"Cell68","Batch1","Group2",61692.2560156332
"Cell69","Batch1","Group2",53830.3935380934
"Cell70","Batch1","Group4",58422.3996679229
"Cell71","Batch1","Group2",53323.0225215279
"Cell72","Batch1","Group2",62043.0058360477
"Cell73","Batch1","Group1",76452.6494231183
"Cell74","Batch1","Group1",83812.0549444155
"Cell75","Batch1","Group3",82073.3197614926
"Cell76","Batch1","Group4",63366.7441377437
"Cell77","Batch1","Group1",74504.1039247238
"Cell78","Batch1","Group3",66692.0185349213
"Cell79","Batch1","Group4",59532.9332707024
"Cell80","Batch1","Group4",57020.6151545496
"Cell81","Batch1","Group2",50216.4944328534
"Cell82","Batch1","Group3",67162.8436792274
"Cell83","Batch1","Group3",103513.400377061
"Cell84","Batch1","Group3",70270.4781704893
"Cell85","Batch1","Group1",51838.0715702583
"Cell86","Batch1","Group3",48678.2538837918
"Cell87","Batch1","Group3",51570.6682681551
"Cell88","Batch1","Group3",76489.6820779837
"Cell89","Batch1","Group4",59288.8302444596
"Cell90","Batch1","Group3",60587.6900490263
"Cell91","Batch1","Group2",62052.5793140537
"Cell92","Batch1","Group3",89612.2689592194
"Cell93","Batch1","Group1",54524.5651733186
