Cell,cell_type,batch
Cell1,Group1,Batch1
Cell2,Group1,Batch1
Cell3,Group2,Batch1
Cell4,Group10,Batch1
Cell5,Group10,Batch1
Cell6,Group1,Batch1
Cell7,Group5,Batch1
Cell8,Group7,Batch1
Cell9,Group1,Batch1
Cell10,Group9,Batch1
Cell11,Group5,Batch1
Cell12,Group10,Batch1
Cell13,Group4,Batch1
Cell14,Group1,Batch1
Cell15,Group10,Batch1
Cell16,Group7,Batch1
Cell17,Group2,Batch1
Cell18,Group10,Batch1
Cell19,Group3,Batch1
Cell20,Group1,Batch1
Cell21,Group7,Batch1
Cell22,Group5,Batch1
Cell23,Group9,Batch1
Cell24,Group8,Batch1
Cell25,Group6,Batch1
Cell26,Group5,Batch1
Cell27,Group6,Batch1
Cell28,Group10,Batch1
Cell29,Group1,Batch1
Cell30,Group1,Batch1
Cell31,Group9,Batch1
Cell32,Group4,Batch1
Cell33,Group5,Batch1
Cell34,Group6,Batch1
Cell35,Group8,Batch1
Cell36,Group7,Batch1
Cell37,Group1,Batch1
Cell38,Group3,Batch1
Cell39,Group2,Batch1
Cell40,Group2,Batch1
Cell41,Group7,Batch1
Cell42,Group1,Batch1
Cell43,Group1,Batch1
Cell44,Group7,Batch1
Cell45,Group6,Batch1
Cell46,Group8,Batch1
Cell47,Group1,Batch1
Cell48,Group10,Batch1
Cell49,Group1,Batch1
Cell50,Group6,Batch1
Cell51,Group1,Batch1
Cell52,Group2,Batch1
Cell53,Group2,Batch1
Cell54,Group3,Batch1
Cell55,Group10,Batch1
Cell56,Group10,Batch1
Cell57,Group8,Batch1
Cell58,Group6,Batch1
Cell59,Group4,Batch1
Cell60,Group10,Batch1
Cell61,Group3,Batch1
Cell62,Group7,Batch1
Cell63,Group3,Batch1
Cell64,Group1,Batch1
Cell65,Group6,Batch1
Cell66,Group2,Batch1
Cell67,Group6,Batch1
Cell68,Group1,Batch1
Cell69,Group1,Batch1
Cell70,Group6,Batch1
Cell71,Group5,Batch1
Cell72,Group7,Batch1
Cell73,Group4,Batch1
Cell74,Group10,Batch1
Cell75,Group3,Batch1
Cell76,Group6,Batch1
Cell77,Group5,Batch1
Cell78,Group1,Batch1
Cell79,Group2,Batch1
Cell80,Group1,Batch1
Cell81,Group4,Batch1
Cell82,Group8,Batch1
Cell83,Group3,Batch1
Cell84,Group10,Batch1
Cell85,Group10,Batch1
Cell86,Group5,Batch1
Cell87,Group1,Batch1
Cell88,Group8,Batch1
Cell89,Group5,Batch1
Cell90,Group7,Batch1
Cell91,Group7,Batch1
Cell92,Group7,Batch1
Cell93,Group7,Batch1
Cell94,Group9,Batch1
Cell95,Group8,Batch1
Cell96,Group4,Batch1
Cell97,Group1,Batch1
Cell98,Group10,Batch1
Cell99,Group7,Batch1
Cell100,Group6,Batch1
Cell101,Group6,Batch1
Cell102,Group10,Batch1
Cell103,Group6,Batch1
Cell104,Group10,Batch1
Cell105,Group9,Batch1
Cell106,Group9,Batch1
Cell107,Group4,Batch1
Cell108,Group3,Batch1
Cell109,Group10,Batch1
Cell110,Group3,Batch1
Cell111,Group2,Batch1
Cell112,Group1,Batch1
Cell113,Group2,Batch1
Cell114,Group5,Batch1
Cell115,Group7,Batch1
Cell116,Group6,Batch1
Cell117,Group4,Batch1
Cell118,Group8,Batch1
Cell119,Group3,Batch1
Cell120,Group8,Batch1
Cell121,Group8,Batch1
Cell122,Group5,Batch1
Cell123,Group2,Batch1
Cell124,Group3,Batch1
Cell125,Group2,Batch1
Cell126,Group1,Batch1
Cell127,Group3,Batch1
Cell128,Group3,Batch1
Cell129,Group5,Batch1
Cell130,Group3,Batch1
Cell131,Group8,Batch1
Cell132,Group10,Batch1
Cell133,Group1,Batch1
Cell134,Group3,Batch1
Cell135,Group5,Batch1
Cell136,Group1,Batch1
Cell137,Group9,Batch1
Cell138,Group1,Batch1
Cell139,Group2,Batch1
Cell140,Group5,Batch1
Cell141,Group10,Batch1
Cell142,Group1,Batch1
Cell143,Group6,Batch1
Cell144,Group3,Batch1
Cell145,Group10,Batch1
Cell146,Group6,Batch1
Cell147,Group9,Batch1
Cell148,Group2,Batch1
Cell149,Group2,Batch1
Cell150,Group7,Batch1
Cell151,Group1,Batch1
Cell152,Group7,Batch1
Cell153,Group7,Batch1
Cell154,Group7,Batch1
Cell155,Group9,Batch1
Cell156,Group1,Batch1
Cell157,Group8,Batch1
Cell158,Group7,Batch1
Cell159,Group6,Batch1
Cell160,Group5,Batch1
Cell161,Group1,Batch1
Cell162,Group7,Batch1
Cell163,Group1,Batch1
Cell164,Group2,Batch1
Cell165,Group1,Batch1
Cell166,Group7,Batch1
Cell167,Group10,Batch1
Cell168,Group2,Batch1
Cell169,Group2,Batch1
Cell170,Group7,Batch1
Cell171,Group1,Batch1
Cell172,Group1,Batch1
Cell173,Group10,Batch1
Cell174,Group5,Batch1
Cell175,Group10,Batch1
Cell176,Group1,Batch1
Cell177,Group2,Batch1
Cell178,Group8,Batch1
Cell179,Group10,Batch1
Cell180,Group1,Batch1
Cell181,Group1,Batch1
Cell182,Group8,Batch1
Cell183,Group10,Batch1
Cell184,Group8,Batch1
Cell185,Group7,Batch1
Cell186,Group5,Batch1
Cell187,Group4,Batch1
Cell188,Group5,Batch1
Cell189,Group3,Batch1
Cell190,Group2,Batch1
Cell191,Group7,Batch1
Cell192,Group10,Batch1
Cell193,Group8,Batch1
Cell194,Group8,Batch1
Cell195,Group7,Batch1
Cell196,Group8,Batch1
Cell197,Group7,Batch1
Cell198,Group5,Batch1
Cell199,Group2,Batch1
Cell200,Group8,Batch1
Cell201,Group3,Batch1
Cell202,Group1,Batch1
Cell203,Group8,Batch1
Cell204,Group2,Batch1
Cell205,Group4,Batch1
Cell206,Group6,Batch1
Cell207,Group6,Batch1
Cell208,Group4,Batch1
Cell209,Group3,Batch1
Cell210,Group1,Batch1
Cell211,Group1,Batch1
Cell212,Group1,Batch1
Cell213,Group6,Batch1
Cell214,Group7,Batch1
Cell215,Group7,Batch1
Cell216,Group5,Batch1
Cell217,Group2,Batch1
Cell218,Group5,Batch1
Cell219,Group7,Batch1
Cell220,Group6,Batch1
Cell221,Group10,Batch1
Cell222,Group3,Batch1
Cell223,Group8,Batch1
Cell224,Group3,Batch1
Cell225,Group5,Batch1
Cell226,Group2,Batch1
Cell227,Group7,Batch1
Cell228,Group1,Batch1
Cell229,Group5,Batch1
Cell230,Group10,Batch1
Cell231,Group7,Batch1
Cell232,Group3,Batch1
Cell233,Group5,Batch1
Cell234,Group5,Batch1
