cell_id,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,latent_33,latent_34,latent_35,latent_36,latent_37,latent_38,latent_39,latent_40,latent_41,latent_42,latent_43,latent_44,latent_45,latent_46,latent_47,latent_48,latent_49,latent_50,latent_51,latent_52,latent_53,latent_54,latent_55,latent_56,latent_57,latent_58,latent_59,latent_60,latent_61,latent_62,latent_63,latent_64
cell_0000,0.21865161,-0.07539915,-0.009681432,0.16884433,0.12738147,-0.061793298,-0.12749082,0.0642128,-0.16123681,0.052326977,0.174551,0.0016648124,-0.12797475,0.10727511,0.16992556,0.18934685,0.078288935,-0.059845332,-0.0034936164,0.20667203,-0.014845711,0.20593712,-0.023237426,0.18404041,-0.04756124,-0.069121204,-0.044246726,-0.2107821,-0.03196296,-0.09704134,0.08861548,0.14776006,0.09612632,0.13008347,-0.07378154,0.15525977,-0.06473603,0.017080635,-0.12714,0.1283918,0.08923543,0.111801185,0.19035578,-0.08860015,-0.11665211,0.050835,0.09541706,-0.12203733,0.24144047,-0.0017666253,0.15172073,-0.18930568,0.11935534,-0.14147216,0.20995964,-0.1580717,0.08682753,0.019434849,-0.11560135,0.029850852,-0.062398933,0.22567889,0.011400551,0.086296976
cell_0001,0.23035678,-0.10103224,-0.04435413,0.19616334,0.03481041,-0.118958004,-0.11991354,0.079621926,-0.17364565,0.006696056,0.09008797,-0.09455669,-0.14963375,0.019175198,0.18349054,0.14871301,0.0642324,-0.062115893,0.0026166665,0.19406568,-0.09367304,0.23066989,-0.13242792,0.06471579,0.07081771,-0.121908985,-0.17527623,-0.2133042,-0.052007254,0.029051421,0.029011821,0.18487732,0.14244668,0.08245907,-0.121309124,0.17376854,-0.15619224,0.049835958,-0.08342272,0.023218954,0.09282146,0.029368881,0.14395916,-0.11253535,-0.11839509,0.083549134,0.12681688,-0.0014778178,0.19086598,0.033323374,0.0105173085,-0.06765997,0.04817182,-0.24766393,0.13934557,-0.21532421,0.18658559,0.007949908,-0.13544315,0.03590327,-0.059276823,0.15706685,-0.031284727,0.169418
cell_0002,0.23332314,-0.049014255,-0.13605437,0.15990064,0.16706738,-0.10711281,-0.13919601,0.01418568,-0.14688113,-0.13097617,0.17235887,0.04035614,-0.15665928,0.114512295,0.2035654,0.15203336,0.1524042,-0.038425345,0.013199739,0.23765036,-0.055072736,0.12978594,-0.058952816,0.19572385,-0.043509744,-0.08207056,-0.060033407,-0.19604564,0.042785585,-0.06881536,0.08370551,0.08391931,0.05562511,0.12290957,-0.06116395,0.15542866,-0.06538128,0.062727325,-0.25598603,0.09790958,0.14217977,0.041456867,0.16531485,-0.14871614,-0.14442341,0.053127684,0.099613525,-0.060615767,0.1863596,0.055687625,0.07998207,-0.09193315,-0.062516175,-0.110754326,0.16171874,-0.14877377,0.14200626,0.006310092,-0.062667966,-0.021713598,-0.05470585,0.2218475,0.04330292,0.14012493
cell_0003,0.19684316,-0.09270634,-0.109606,0.2543054,0.03464375,-0.11202914,-0.10917959,0.1622756,-0.17650697,-0.028856868,0.07145013,-0.023914032,-0.09379066,0.12789233,0.24313441,0.20926526,0.07587516,-0.16762225,0.012025076,0.17401053,-0.096776776,0.16406706,-0.0764553,0.10979651,-0.013174351,-0.06003627,-0.11978181,-0.18853365,-0.026264848,0.06305254,0.097013205,0.15613298,0.08246716,0.12366968,-0.10309893,0.14751145,-0.15474485,0.024207093,-0.16627625,0.04902127,0.12877503,0.038574327,0.12538543,-0.14691898,-0.14861393,0.08847013,0.14986147,0.010088033,0.111263566,0.05859708,0.118585825,0.0020226943,0.07140518,-0.24931496,0.13361292,-0.1686253,0.15695581,0.044908945,-0.073260956,0.056070957,0.0048302505,0.13157488,0.04372295,0.18140045
cell_0004,0.17328687,-0.10486764,-0.0023716993,0.14062178,0.10165376,-0.1387002,-0.13650216,0.0030164071,-0.09639304,-0.009002277,0.121793225,-0.07897366,-0.10549271,0.10084344,0.13416149,0.13191609,0.120090485,0.056744438,-0.021480784,0.2019218,-0.025856227,0.2582301,-0.07878022,0.21379113,0.047812585,-0.12081899,-0.10782205,-0.18497178,-0.112982206,-0.0728511,0.07656541,0.1392299,0.07575331,0.041766576,-0.1540708,0.17003666,-0.13092263,0.04605128,-0.13790172,0.06098265,0.01613127,0.14121579,0.22444786,-0.011484992,-0.15013002,0.07923585,0.13807623,-0.15636636,0.1989203,0.02141453,0.19374688,-0.037531715,0.047631983,-0.16154109,0.1335381,-0.258964,0.14204389,0.04053092,-0.08102003,0.026018487,-0.14778723,0.105143,-0.050729483,0.1331104
cell_0005,0.2058961,-0.13929358,-0.094077915,0.1136385,0.113981254,-0.132827,-0.21995708,0.089063644,-0.18779135,0.03892055,0.14359769,-0.124695495,-0.08464635,-0.089129835,0.21158019,0.13300419,0.13782027,-0.014042587,-0.056583747,0.109598584,-0.04640353,0.16787075,-0.050919436,0.13379854,0.13877557,-0.10575822,-0.09771272,-0.22061762,0.05504041,-0.02149586,0.046791326,0.16809854,0.017328892,0.007775841,-0.060022067,0.21419312,-0.12629405,0.16675782,-0.16906339,-0.0009637187,0.061320707,0.115401246,0.11817693,-0.13856208,-0.1179015,0.016165499,0.10068693,-0.07160001,0.2189077,-0.039104626,0.07857482,-0.023442358,0.10350763,-0.16217728,0.19397111,-0.2288574,0.18348238,0.038662538,-0.09516874,0.04529878,-0.114859745,0.12896442,-0.09938802,0.01124784
cell_0006,0.13295124,-0.15512156,-0.124371834,0.08410453,0.07987846,-0.17935847,-0.18617408,0.08887755,-0.13521639,-0.10332557,0.18472765,-0.051894404,-0.108520806,0.01199213,0.20436764,0.21676253,0.10274725,0.015106403,-0.10589023,0.23998988,-0.09096206,0.15732516,-0.07172696,0.14776587,0.1023874,-0.12821718,-0.1117687,-0.20779471,-0.016908787,-0.019690571,0.03429153,0.1866533,0.04868281,0.15647791,-0.03382409,0.15492897,-0.06336557,0.1257093,-0.16002704,0.046380762,0.079733565,-0.035137873,0.13725902,-0.12641744,-0.10629991,0.034743365,0.08167723,-0.0077512087,0.19904937,-0.046105154,0.03762525,-0.0438391,0.01574945,-0.13462614,0.13552964,-0.25600186,0.2516868,0.010068565,-0.13095509,0.051013175,-0.049855802,0.15875602,-0.06267959,0.07660863
cell_0007,0.049802706,-0.14616252,-0.07873902,0.18480232,0.07683765,-0.12910694,-0.13152891,0.09506849,-0.15092763,0.09752682,0.11665229,-0.13128214,-0.04865002,0.057880163,0.19277886,0.14315422,0.07705761,-0.14673418,0.06483087,0.164074,-0.014343244,0.24621546,-0.04667655,0.09826343,-0.036027446,-0.10735032,-0.09437152,-0.20852739,-0.013927961,-0.062416118,0.04466025,0.14073223,0.07203609,-0.009777515,-0.120046556,0.10711337,-0.044662185,0.045796722,-0.18796907,0.05901976,0.10368356,0.21325783,0.12396136,0.026983907,-0.135539,-0.0006348709,0.08039076,-0.1457688,0.275471,0.048818007,0.16884257,-0.093922734,0.10146226,-0.17881869,0.19337368,-0.22797932,0.051954154,0.09284351,-0.121866964,0.0602159,-0.13429388,0.18500057,0.06526981,0.10952352
cell_0008,0.20194365,-0.12945071,-0.10383673,0.10526373,0.08270849,-0.13684651,-0.18715975,0.062386688,-0.10011822,0.05754368,0.13038447,-0.037329234,-0.1510592,0.091969974,0.23343086,0.1105068,0.15508696,-0.018806577,0.012411432,0.18485042,-0.041781798,0.1990327,-0.05567357,0.16369438,0.057017557,-0.07325179,-0.112093866,-0.2346181,-0.04497694,0.048124805,0.034404345,0.18384765,0.11243511,0.081226036,-0.03283863,0.11039517,-0.06780962,0.06208599,-0.16159418,0.10611739,0.070914485,0.013305769,0.18450412,-0.08396847,-0.15592198,-0.014911658,0.10318581,-0.09870361,0.21364003,-0.0077468297,0.09273724,-0.05646157,-0.0024956458,-0.17099601,0.24828859,-0.28663766,0.20955966,0.02038467,-0.06609335,0.058847807,-0.056736115,0.074756734,-0.052694757,0.13047579
cell_0009,0.14062876,-0.15881346,-0.10961118,0.08739762,0.056289125,-0.21220735,-0.14269729,0.058581237,-0.1055464,0.044784382,0.111082576,-0.09484934,-0.1479725,-0.0067808484,0.20618413,0.15405232,0.13379402,0.0013328387,-0.012222762,0.1875546,-0.074917704,0.20105779,-0.07687804,0.08761186,0.04843008,-0.073627755,-0.09320676,-0.28480297,-0.013956998,-0.017140953,0.017876865,0.19552761,0.040897354,0.081765264,-0.0626139,0.14770456,-0.1121777,0.06779989,-0.027664637,0.06784844,0.047729973,0.003401877,0.14874294,-0.1677351,-0.19265676,0.037564535,0.131284,-0.0618298,0.24373792,0.09605057,0.031937066,-0.056364857,0.060579393,-0.24096037,0.23841836,-0.23078953,0.15545996,0.061506566,-0.050037015,0.033701938,-0.10596415,0.074820936,-0.16144615,0.057424415
cell_0010,0.16071835,-0.074480906,-0.0924528,0.15411747,0.10985772,-0.16304599,-0.13400853,0.07684308,-0.109159894,0.05610683,0.071090154,-0.060250636,-0.12003627,-0.039773937,0.2490247,0.19345854,0.17690733,0.010957236,0.07607356,0.15908703,-0.13134806,0.20214532,-0.1097451,0.18979011,0.107312635,-0.10835627,-0.13766201,-0.189744,0.100395985,-0.02097211,-0.01105075,0.12735033,0.1014622,0.031154312,-0.102456346,0.08175943,-0.01579715,0.101782784,-0.23801629,0.054553915,0.08410494,0.07175182,0.23219179,-0.066357665,-0.084424615,-0.04782023,0.077077456,-0.11688843,0.2275414,0.055968445,0.065491654,0.108644225,0.012446139,-0.09469219,0.17435725,-0.22011574,0.13522556,0.08964609,-0.07742695,0.046230532,-0.14015505,0.10987123,-0.09268259,0.16998067
