cell_id,batch,cell_type
cell_0000,B0,pDC
cell_0001,B0,pDC
cell_0002,B0,pDC
cell_0003,B0,pDC
cell_0004,B0,pDC
cell_0005,B0,pDC
cell_0006,B0,pDC
cell_0007,B0,pDC
cell_0008,B0,pDC
cell_0009,B0,pDC
cell_0010,B0,pDC
cell_0011,B0,pDC
cell_0012,B0,pDC
cell_0013,B0,pDC
cell_0014,B0,pDC
cell_0015,B0,pDC
cell_0016,B0,pDC
cell_0017,B0,pDC
cell_0018,B0,pDC
cell_0019,B0,pDC
cell_0020,B0,pDC
cell_0021,B0,pDC
cell_0022,B0,pDC
cell_0023,B0,pDC
cell_0024,B0,pDC
cell_0025,B0,pDC
cell_0026,B0,pDC
cell_0027,B0,pDC
cell_0028,B0,pDC
cell_0029,B0,pDC
cell_0030,B0,pDC
cell_0031,B0,pDC
cell_0032,B0,pDC
cell_0033,B0,pDC
cell_0034,B0,pDC
cell_0035,B0,pDC
cell_0036,B0,pDC
cell_0037,B0,pDC
cell_0038,B0,pDC
cell_0039,B0,pDC
cell_0040,B0,pDC
cell_0041,B0,pDC
cell_0042,B0,pDC
cell_0043,B0,pDC
cell_0044,B0,pDC
cell_0045,B0,pDC
cell_0046,B0,pDC
cell_0047,B0,pDC
cell_0048,B0,pDC
cell_0049,B0,pDC
cell_0050,B0,pDC
cell_0051,B0,pDC
cell_0052,B0,pDC
cell_0053,B0,pDC
cell_0054,B0,pDC
cell_0055,B0,pDC
cell_0056,B0,pDC
cell_0057,B0,pDC
cell_0058,B0,pDC
cell_0059,B0,pDC
cell_0060,B0,pDC
cell_0061,B0,pDC
cell_0062,B0,pDC
cell_0063,B0,pDC
cell_0064,B0,pDC
cell_0065,B0,pDC
cell_0066,B0,pDC
cell_0067,B0,pDC
cell_0068,B0,pDC
cell_0069,B0,pDC
cell_0070,B0,pDC
cell_0071,B0,pDC
cell_0072,B0,pDC
cell_0073,B0,pDC
cell_0074,B0,pDC
cell_0075,B0,pDC
cell_0076,B0,pDC
cell_0077,B0,pDC
cell_0078,B0,pDC
cell_0079,B0,pDC
cell_0080,B0,DoubleNeg
cell_0081,B0,DoubleNeg
cell_0082,B0,DoubleNeg
cell_0083,B0,DoubleNeg
cell_0084,B0,DoubleNeg
cell_0085,B0,DoubleNeg
cell_0086,B0,DoubleNeg
cell_0087,B0,DoubleNeg
cell_0088,B0,DoubleNeg
cell_0089,B0,DoubleNeg
cell_0090,B0,DoubleNeg
cell_0091,B0,DoubleNeg
cell_0092,B0,DoubleNeg
cell_0093,B0,DoubleNeg
cell_0094,B0,DoubleNeg
cell_0095,B0,DoubleNeg
cell_0096,B0,DoubleNeg
cell_0097,B0,DoubleNeg
cell_0098,B0,DoubleNeg
cell_0099,B0,DoubleNeg
cell_0100,B0,DoubleNeg
cell_0101,B0,DoubleNeg
cell_0102,B0,DoubleNeg
cell_0103,B0,DoubleNeg
cell_0104,B0,DoubleNeg
cell_0105,B0,DoubleNeg
cell_0106,B0,DoubleNeg
cell_0107,B0,DoubleNeg
cell_0108,B0,DoubleNeg
cell_0109,B0,DoubleNeg
cell_0110,B0,DoubleNeg
cell_0111,B0,DoubleNeg
cell_0112,B0,DoubleNeg
cell_0113,B0,DoubleNeg
cell_0114,B0,DoubleNeg
cell_0115,B0,DoubleNeg
cell_0116,B0,DoubleNeg
cell_0117,B0,DoubleNeg
cell_0118,B0,DoubleNeg
cell_0119,B0,DoubleNeg
cell_0120,B0,DoubleNeg
cell_0121,B0,DoubleNeg
cell_0122,B0,DoubleNeg
cell_0123,B0,DoubleNeg
cell_0124,B0,DoubleNeg
cell_0125,B0,DoubleNeg
cell_0126,B0,DoubleNeg
cell_0127,B0,DoubleNeg
cell_0128,B0,DoubleNeg
cell_0129,B0,DoubleNeg
cell_0130,B0,DoubleNeg
cell_0131,B0,DoubleNeg
cell_0132,B0,DoubleNeg
cell_0133,B0,DoubleNeg
cell_0134,B0,DoubleNeg
cell_0135,B0,DoubleNeg
cell_0136,B0,DoubleNeg
cell_0137,B0,DoubleNeg
cell_0138,B0,DoubleNeg
cell_0139,B0,DoubleNeg
cell_0140,B0,DoubleNeg
cell_0141,B0,DoubleNeg
cell_0142,B0,DoubleNeg
cell_0143,B0,DoubleNeg
cell_0144,B0,DoubleNeg
cell_0145,B0,DoubleNeg
cell_0146,B0,DoubleNeg
cell_0147,B0,DoubleNeg
cell_0148,B0,DoubleNeg
cell_0149,B0,DoubleNeg
cell_0150,B0,DoubleNeg
cell_0151,B0,DoubleNeg
cell_0152,B0,DoubleNeg
cell_0153,B0,DoubleNeg
cell_0154,B0,DoubleNeg
cell_0155,B0,DoubleNeg
cell_0156,B0,DoubleNeg
cell_0157,B0,DoubleNeg
cell_0158,B0,DoubleNeg
cell_0159,B0,DoubleNeg
cell_0160,B0,CD141
cell_0161,B0,CD141
cell_0162,B0,CD141
cell_0163,B0,CD141
cell_0164,B0,CD141
cell_0165,B0,CD141
cell_0166,B0,CD141
cell_0167,B0,CD141
cell_0168,B0,CD141
cell_0169,B0,CD141
cell_0170,B0,CD141
cell_0171,B0,CD141
cell_0172,B0,CD141
cell_0173,B0,CD141
cell_0174,B0,CD141
cell_0175,B0,CD141
cell_0176,B0,CD141
cell_0177,B0,CD141
cell_0178,B0,CD141
cell_0179,B0,CD141
cell_0180,B0,CD141
cell_0181,B0,CD141
cell_0182,B0,CD141
cell_0183,B0,CD141
cell_0184,B0,CD141
cell_0185,B0,CD141
cell_0186,B0,CD141
cell_0187,B0,CD141
cell_0188,B0,CD141
cell_0189,B0,CD141
cell_0190,B0,CD141
cell_0191,B0,CD141
cell_0192,B0,CD141
cell_0193,B0,CD141
cell_0194,B0,CD141
cell_0195,B0,CD141
cell_0196,B0,CD141
cell_0197,B0,CD141
