cell_id,UMAP1,UMAP2,batch,cell_type
cell_0000,19.246,0.80900604,B0,pDC
cell_0001,18.295378,0.9262206,B0,pDC
cell_0002,19.071402,0.6696977,B0,pDC
cell_0003,18.278986,1.0055268,B0,pDC
cell_0004,19.199707,0.88358855,B0,pDC
cell_0005,16.8837,0.98614967,B0,pDC
cell_0006,17.720348,1.5732678,B0,pDC
cell_0007,18.733118,0.75698966,B0,pDC
cell_0008,18.47458,1.4506954,B0,pDC
cell_0009,17.412748,1.093779,B0,pDC
cell_0010,18.653803,1.16644,B0,pDC
cell_0011,16.378597,1.6006303,B0,pDC
cell_0012,17.237143,1.8077608,B0,pDC
cell_0013,18.645533,0.9474641,B0,pDC
cell_0014,16.231508,0.9555782,B0,pDC
cell_0015,16.32643,0.4705626,B0,pDC
cell_0016,18.314377,0.53570926,B0,pDC
cell_0017,16.103518,1.4614539,B0,pDC
cell_0018,17.113602,1.4947438,B0,pDC
cell_0019,17.15883,0.34031704,B0,pDC
cell_0020,19.006935,0.9026987,B0,pDC
cell_0021,17.486385,0.13507313,B0,pDC
cell_0022,18.963509,1.0074247,B0,pDC
cell_0023,17.306314,1.2754537,B0,pDC
cell_0024,19.09463,1.1355107,B0,pDC
cell_0025,17.286667,1.3900601,B0,pDC
cell_0026,17.788788,0.9469548,B0,pDC
cell_0027,19.06077,0.9596596,B0,pDC
cell_0028,16.144093,0.89743197,B0,pDC
cell_0029,18.431353,0.72948176,B0,pDC
cell_0030,17.069735,1.954366,B0,pDC
cell_0031,17.901634,1.3037709,B0,pDC
cell_0032,18.757757,1.456834,B0,pDC
cell_0033,17.748142,0.5486405,B0,pDC
cell_0034,17.884514,0.6502316,B0,pDC
cell_0035,16.894293,2.0743034,B0,pDC
cell_0036,17.564964,1.9853756,B0,pDC
cell_0037,17.283165,1.3935652,B0,pDC
cell_0038,16.428627,1.6520901,B0,pDC
cell_0039,17.30034,1.5302647,B0,pDC
cell_0040,18.412325,0.09486125,B0,pDC
cell_0041,18.457506,0.48839402,B0,pDC
cell_0042,18.493155,1.50191,B0,pDC
cell_0043,16.222328,0.7450712,B0,pDC
cell_0044,18.788263,0.14083993,B0,pDC
cell_0045,18.743946,0.79027957,B0,pDC
cell_0046,16.75458,1.1078298,B0,pDC
cell_0047,18.617695,0.5384439,B0,pDC
cell_0048,16.3173,0.4151618,B0,pDC
cell_0049,17.467804,0.7259747,B0,pDC
cell_0050,17.178574,1.6379232,B0,pDC
cell_0051,19.114088,0.624313,B0,pDC
cell_0052,18.895863,0.62293684,B0,pDC
cell_0053,19.031202,0.402988,B0,pDC
cell_0054,16.328957,1.5592192,B0,pDC
cell_0055,18.88637,1.334741,B0,pDC
cell_0056,16.24225,1.0999588,B0,pDC
cell_0057,17.119247,0.42235067,B0,pDC
cell_0058,17.162607,2.0289423,B0,pDC
cell_0059,17.321455,2.1645973,B0,pDC
cell_0060,17.753206,0.9857694,B0,pDC
cell_0061,17.035162,1.4216465,B0,pDC
cell_0062,19.29215,0.7369278,B0,pDC
cell_0063,16.999937,1.5229645,B0,pDC
cell_0064,17.88791,0.5242741,B0,pDC
cell_0065,18.295547,1.8700305,B0,pDC
cell_0066,18.63907,1.4256657,B0,pDC
cell_0067,16.028822,1.2396221,B0,pDC
cell_0068,18.582827,1.0515217,B0,pDC
cell_0069,17.948055,1.1719683,B0,pDC
cell_0070,16.594307,0.37120336,B0,pDC
cell_0071,18.97602,0.7907568,B0,pDC
cell_0072,17.152895,0.015665928,B0,pDC
cell_0073,16.796543,0.6540755,B0,pDC
cell_0074,18.567806,1.6099875,B0,pDC
cell_0075,17.22778,1.5462643,B0,pDC
